ID,ID Item,Description,Nhà sản xuất,Unit Price,Unit Price VND,Giá vốn,Chênh lệch Giá vốn,Tổng nhập,Tổng xuất,Tổng tồn,Nhà cung cấp,Year,Month,Day,Giá mặc cả,Giá mặc cả USD,Giá vốn mới,Chênh lệch Giá vốn
17610-0C040,"PUMP ASSY, AIR",,"3, CAMPAIGN USD SPEC",203.75,5525804,5277125,4.71%,1,1,,HTAUTOHN,2022,March,10,4950000,182.52,4380531,4.71%
16400-0L150,RADIATOR ASSY,,"3, CAMPAIGN USD SPEC",182.45,4948107,5351154,-7.53%,1,1,,HTAUTOHN,2022,February,24,4930000,181.78,4362832,-7.53%
43211-KK010,"KNUCKLE, STEERING RH",,"3, CAMPAIGN USD SPEC",105.82,2869713,2522159,13.78%,1,4,0,HTAUTOHN,2022,March,25,2396051,88.35,2120399,13.78%
31210-26172,"COVER ASSY, CLUTCH",,"3, CAMPAIGN USD SPEC",148.83,4036274,1971022,104.78%,15,18,5,NK-TS,2021,December,18,1632979,60.21,1445114,104.78%
81130-0K520,UNIT A/S HEADLAMP RH,,"3, CAMPAIGN USD SPEC",58.27,1580262,1575000,0.33%,1,1,,NN-CHINGUYET,2021,November,26,1500000,55.31,1327434,0.33%
81170-0K520,UNIT A/S HEADLAMP LH,,"3, CAMPAIGN USD SPEC",58.27,1580262,1575000,0.33%,1,1,,NN-CHINGUYET,2021,November,26,1500000,55.31,1327434,0.33%
13011-13110,"RING SET, PISTON",,"3, CAMPAIGN USD SPEC",96.11,2606637,1500443,73.72%,1,8,0,CHPT-MINHANH,2022,September,8,1425421,52.56,1261434,73.72%
22204-0C020,METER S/A INTAKE AIR,,"3, CAMPAIGN USD SPEC",109.62,2972769,1460491,103.55%,1,2,0,HTAUTOHN,2021,January,16,1377500,50.79,1219027,103.55%
81130-0K310,"UNIT A/S,HEADLAMP RH",,"3, CAMPAIGN USD SPEC",57.12,1548969,1317455,17.57%,50,512,37,NK-IDAM,2022,September,12,1251582,46.15,1107595,17.57%
13011-0L070,"RING SET, PISTON",,"3, CAMPAIGN USD SPEC",62.11,1684450,1418217,18.77%,5,17,12,NK-IDAS,2022,July,26,1232349,45.44,1090574,18.77%
31210-0K190,"COVER ASSY, CLUTCH",,"3, CAMPAIGN USD SPEC",59.63,1617274,1348361,19.94%,100,175,28,NK-IDAM,2021,August,4,1185908,43.73,1049476,19.94%
31210-0K040,"COVER ASSY, CLUTCH",,"3, CAMPAIGN USD SPEC",67.50,1830600,1348443,35.76%,126,574,195,NK-IDAS,2022,August,19,1172956,43.25,1038014,35.76%
81170-0K310,"UNIT A/S,HEADLAMP LH",,"3, CAMPAIGN USD SPEC",57.12,1548969,1284089,20.63%,33,604,75,NK-IDAM,2021,November,2,1153789,42.54,1021052,20.63%
81130-0K530,UNIT A/S HEADLAMP RH,,"3, CAMPAIGN USD SPEC",64.62,1752369,1262064,38.85%,150,334,0,NK-IDAM,2021,November,30,1135904,41.88,1005224,38.85%
81170-0K530,UNIT A/S HEADLAMP LH,,"3, CAMPAIGN USD SPEC",64.62,1752369,1255472,39.58%,150,295,1,NK-IDAM,2021,November,30,1135904,41.88,1005224,39.58%
04465-YZZR5-82,BRAKE PAD,,"3, CAMPAIGN USD SPEC",45.08,1222678,1158180,5.57%,8,35,4,CHPT-MINHANH,2022,June,27,1130000,41.67,1000000,5.57%
31250-0K301,"DISC ASSY, CLUTCH",,"3, CAMPAIGN USD SPEC",54.64,1481810,1245443,18.98%,3,456,4,NK-IDAS,2022,July,26,1083922,39.97,959223,18.98%
04466-0K010,"PAD KIT, DISC BRAKE L/FITTING ,RR",,"3, CAMPAIGN USD SPEC",43.36,1175983,1144851,2.72%,1,2,,CHPT-MINHANH,2022,May,18,1060000,39.09,938053,2.72%
04465-YZZQ5-82,"PAD KIT,DISC BRAKE F",,"3, CAMPAIGN USD SPEC",39.52,1071762,1090632,-1.73%,2,10,0,HTAUTOHN,2022,June,25,1053000,38.83,931858,-1.73%
81105-0K130,HOUS S/A HEADLAMP RH,,"3, CAMPAIGN USD SPEC",57.12,1548969,1192735,29.87%,6,313,1,NK-IDAM,2021,November,2,1034371,38.14,915373,29.87%
04465-28520,"PAD KIT, DISC BRAKE",,"3, CAMPAIGN USD SPEC",99.90,2709280,1162694,133.02%,1,1,,NCC-KHANGTHANG,2021,October,28,1026000,37.83,907965,133.02%
45503-0K130,END SA STEERING RACK,,"3, CAMPAIGN USD SPEC",36.30,984456,1235885,-20.34%,4,8,4,NK-CHI,2022,May,13,1025622,37.82,907630,-20.34%
13011-0L030,"RING SET, PISTON",,"3, CAMPAIGN USD SPEC",46.64,1264791,1131365,11.79%,4,14,8,NK-IDAM,2022,July,22,1023021,37.72,905328,11.79%
81106-0K130,HOUS S/A HEADLAMP LH,,"3, CAMPAIGN USD SPEC",57.12,1548969,1153834,34.25%,76,364,99,NK-IDAM,2022,April,12,1015142,37.43,898355,34.25%
45503-09331,"END S/ASSY, STRG RAC",,"3, CAMPAIGN USD SPEC",24.77,671742,1051303,-36.10%,60,64,5,NK-TS,2022,February,26,964287,35.56,853351,-36.10%
31250-0D231,"DISC ASSY, CLUTCH",,"3, CAMPAIGN USD SPEC",45.87,1243869,1008946,23.28%,100,301,43,NK-TRISTAN,2022,April,21,937305,34.56,829474,23.28%
04465-YZZR7,BRAKE PAD,,"3, CAMPAIGN USD SPEC",58.00,1572970,1130270,39.17%,30,33,0,NK-TS,2022,February,26,926737,34.17,820122,39.17%
04465-YZZQ7,BRAKE PAD,,"3, CAMPAIGN USD SPEC",42.56,1154208,961003,20.10%,200,1324,152,HTAUTOHN,2022,September,14,912953,33.66,807923,20.10%
