ID,ID Item,Description,Nhà sản xuất,Unit Price,Unit Price VND,Giá vốn,Chênh lệch Giá vốn,Tổng nhập,Tổng xuất,Tổng tồn,Nhà cung cấp,Year,Month,Day,Giá mặc cả,Giá mặc cả USD,Giá vốn mới,Chênh lệch Giá vốn
16400-0L150,RADIATOR ASSY,,TASTI,175.64,4763357,5351154,-10.98%,1,1,,HTAUTOHN,2022,February,24,4930000,181.78,4362832,-10.98%
31210-26172,"COVER ASSY, CLUTCH",,TASTI,139.84,3792461,1971022,92.41%,15,18,5,NK-TS,2021,December,18,1632979,60.21,1445114,92.41%
13011-13110,"RING SET, PISTON",,TASTI,89.46,2426155,1500443,61.70%,1,8,0,CHPT-MINHANH,2022,September,8,1425421,52.56,1261434,61.70%
13011-0L070,"RING SET, PISTON",,TASTI,59.01,1600351,1418217,12.84%,5,17,12,NK-IDAS,2022,July,26,1232349,45.44,1090574,12.84%
31210-0K190,"COVER ASSY, CLUTCH",,TASTI,56.03,1519534,1348361,12.69%,100,175,28,NK-IDAM,2021,August,4,1185908,43.73,1049476,12.69%
04465-YZZR5-82,BRAKE PAD,,TASTI,42.85,1162092,1158180,0.34%,8,35,4,CHPT-MINHANH,2022,June,27,1130000,41.67,1000000,0.34%
31250-0K301,"DISC ASSY, CLUTCH",,TASTI,51.91,1407799,1245443,13.04%,3,456,4,NK-IDAS,2022,July,26,1083922,39.97,959223,13.04%
13011-0L030,"RING SET, PISTON",,TASTI,43.82,1188398,1131365,5.04%,4,14,8,NK-IDAM,2022,July,22,1076864,39.71,952977,5.04%
04466-0K010,"PAD KIT, DISC BRAKE L/FITTING ,RR",,TASTI,40.36,1094563,1144851,-4.39%,1,2,,CHPT-MINHANH,2022,May,18,1060000,39.09,938053,-4.39%
04465-28520,"PAD KIT, DISC BRAKE",,TASTI,93.86,2545483,1162694,118.93%,1,1,,NCC-KHANGTHANG,2021,October,28,1026000,37.83,907965,118.93%
04465-YZZR7,BRAKE PAD,,TASTI,53.98,1463938,1130270,29.52%,30,33,0,NK-TS,2022,February,26,926737,34.17,820122,29.52%
04465-YZZQ7,BRAKE PAD,,TASTI,39.99,1084529,961003,12.85%,200,1324,152,HTAUTOHN,2022,September,14,912953,33.66,807923,12.85%
48510-BZ740,"ABSORBER ASSY,FR RH",,TASTI,43.82,1188398,951199,24.94%,5,5,,NK-IDAS,2022,April,5,861356,31.76,762262,24.94%
13011-0L020,"RING SET, PISTON",,TASTI,34.83,944590,858189,10.07%,10,90,40,NK-IDAM,2022,May,10,753378,27.78,666706,10.07%
45503-0K040,END SA STEERING RACK,,TASTI,37.70,1022424,782646,30.64%,20,22,,NK-IDAS,2022,August,19,743514,27.42,657977,30.64%
31250-0B021,"DISC ASSY, CLUTCH",,TASTI,34.72,941606,829088,13.57%,20,167,9,NK-IDAS,2022,August,19,726679,26.79,643079,13.57%
04465-YZZR6,MVP BRAKE PAD,,TASTI,53.01,1437631,970216,48.18%,2,27,7,NK-TS,2022,March,29,694331,25.60,614452,48.18%
31250-0A011,"DISC ASSY, CLUTCH",,TASTI,33.05,896316,778652,15.11%,180,948,159,NK-IDAS,2022,August,19,691629,25.50,612061,15.11%
27415-0L030,"PULLEY, ALTERNATOR W",,TASTI,39.51,1071511,626478,71.04%,100,1160,231,HTAUTOHN,2022,September,14,595154,21.95,526685,71.04%
13568-39016,"BELT, TIMING",,TASTI,31.10,843432,598350,40.96%,5,37,0,HTAUTOHN,2022,March,8,568433,20.96,503038,40.96%
13011-0C010,"RING SET, PISTON",,TASTI,23.08,625930,573071,9.22%,50,1115,294,NK-IDAS,2022,July,26,544417,20.07,481785,9.22%
23390-51070,"ELEMENT ASSY, FUEL",,TASTI,27.54,746885,532923,40.15%,2,2,,HTAUTOHN,2022,May,14,470250,17.34,416150,40.15%
17801-31120,"ELEMENT SUB-ASSY,",,TASTI,22.51,610471,531859,14.78%,5,4,1,NCC-KHANGTHANG,2022,February,24,465500,17.16,411947,14.78%
04371-0K110,"SPIDER KIT, UNIVERSA",,TASTI,29.22,792446,483221,63.99%,100,230,0,NK-TS,2022,February,26,399268,14.72,353334,63.99%
04495-YZZZ2,BRAKE SHOE,,TASTI,15.94,432293,381996,13.17%,50,732,1,NK-IDAS,2022,July,26,362896,13.38,321147,13.17%
17801-0L050,ELEMENT SA AIRFILTER,,TASTI,14.65,397308,373176,6.47%,1,175,17,NK-IDAM,2022,July,22,354518,13.07,313732,6.47%
48500-09020,ABSORBER A/S FR R/L,,TASTI,14.14,383477,347360,10.40%,50,221,112,NK-IDAM,2022,September,12,329992,12.17,292028,10.40%
04465-YZZZ1,"PAD KIT, DISC BRK FR",,TASTI,12.93,350662,316938,10.64%,20,101,45,NK-IDAS,2022,July,26,301091,11.10,266453,10.64%
48609-0K020,SUPPORT S/A FR SUSP,,TASTI,12.26,332491,308389,7.82%,10,106,22,NK-IDAM,2022,July,22,281514,10.38,249127,7.82%
17801-YZZA1,ELEMENT SA AIRFILTER,,TASTI,14.13,383206,313916,22.07%,400,410,302,NK-IDAM,2021,August,4,272996,10.07,241589,22.07%
43330-09110,JOINT ASSY LWR BALL,,TASTI,13.41,363679,279835,29.96%,4,18,2,NK-IDAS,2022,July,26,265843,9.80,235260,29.96%
90916-T2028,"BELT, V-RIBBED",,TASTI,27.20,737664,192804,282.60%,40,664,276,NCC-THAILAND,2022,May,31,153057,5.64,135449,282.60%
99332-51030,"BELT V, AC",,TASTI,3.74,101429,88788,14.24%,140,317,165,NK-IDAM,2021,December,15,79396,2.93,70262,14.24%
90915-YZZZ2,OIL FILTER,,TASTI,1.91,51799,45776,13.16%,20,478,2,NK-IDAM,2022,May,10,42317,1.56,37448,13.16%
90082-93003,BELT V (COOLING SYS),,TASTI,1.44,39053,34727,12.46%,100,527,177,NK-IDAS,2022,July,26,30178,1.11,26706,12.46%
48510-8Z244,"ABSORBER SET, FR RH",,TASTI,28.02,759902,678020,12.08%,2,3850,0,GIANGDAO,2022,September,9,0,0.00,0,12.08%
