ID,ID Item,Description,Nhà sản xuất,Unit Price,Unit Price VND,Giá vốn,Chênh lệch Giá vốn,Tổng nhập,Tổng xuất,Tổng tồn,Nhà cung cấp,Year,Month,Day,Giá mặc cả,Giá mặc cả USD,Giá vốn mới,Chênh lệch Giá vốn
16400-0L150,RADIATOR ASSY,KUN40 = KIJANG INNOVA,TMC,184.29,4997829,5351154,-6.60%,1,1,,HTAUTOHN,2022,February,24,4930000,181.78,4362832,-6.60%
31210-26172,"COVER ASSY, CLUTCH",KZJ95 = LANDCRUISER,TMC,146.00,3959520,1971022,100.89%,15,18,5,NK-TS,2021,December,18,1632979,60.21,1445114,100.89%
13011-13110,"RING SET, PISTON",KF60 = KIJANG MINIBUS,TMC,93.21,2527971,1500443,68.48%,1,8,0,CHPT-MINHANH,2022,September,8,1425421,52.56,1261434,68.48%
31250-0K320,"DISC ASSY, CLUTCH",KUN125 = HI-LUX,TMC,62.68,1699843,1434053,18.53%,40,1358,78,NK-IDAM,2022,September,12,1362350,50.23,1205620,18.53%
13011-0L070,"RING SET, PISTON",KUN60 = FORTUNER,TMC,61.75,1674660,1418217,18.08%,5,17,12,NK-IDAS,2022,July,26,1232349,45.44,1090574,18.08%
31210-0K190,"COVER ASSY, CLUTCH",KUN60 = FORTUNER,TMC,58.50,1586520,1348361,17.66%,100,175,28,NK-IDAM,2021,August,4,1185908,43.73,1049476,17.66%
31210-0K040,"COVER ASSY, CLUTCH",KUN15 = KIJANG INNOVA,TMC,58.50,1586520,1348443,17.66%,126,574,195,NK-IDAS,2022,August,19,1172956,43.25,1038014,17.66%
04465-YZZR5-82,BRAKE PAD,KUN125 = HI-LUX,TMC,43.46,1178558,1158180,1.76%,8,35,4,CHPT-MINHANH,2022,June,27,1130000,41.67,1000000,1.76%
31250-0K301,"DISC ASSY, CLUTCH",TGN110 = HI-LUX,TMC,54.32,1473197,1245443,18.29%,3,456,4,NK-IDAS,2022,July,26,1083922,39.97,959223,18.29%
13011-0L030,"RING SET, PISTON",KUN26 = HI-LUX,TMC,45.75,1240740,1131365,9.67%,4,14,8,NK-IDAM,2022,July,22,1076864,39.71,952977,9.67%
04466-0K010,"PAD KIT, DISC BRAKE L/FITTING ,RR",GUN165 = FORTUNER,TMC,42.05,1140493,1144851,-0.38%,1,2,,CHPT-MINHANH,2022,May,18,1060000,39.09,938053,-0.38%
31210-0K320,"COVER ASSY, CLUTCH",KUN125 = HI-LUX,TMC,47.14,1278514,1110234,15.16%,50,85,15,NK-IDAM,2022,July,22,1054102,38.87,932834,15.16%
04465-28520,"PAD KIT, DISC BRAKE",ACR50 = PREVIA,TMC,98.00,2657760,1162694,128.59%,1,1,,NCC-KHANGTHANG,2021,October,28,1026000,37.83,907965,128.59%
04465-YZZR7,BRAKE PAD,ACV30 = CAMRY,TMC,56.25,1525500,1130270,34.97%,30,33,0,NK-TS,2022,February,26,926737,34.17,820122,34.97%
04465-YZZQ7,BRAKE PAD,GUN165 = FORTUNER,TMC,41.75,1132260,961003,17.82%,200,1324,152,HTAUTOHN,2022,September,14,912953,33.66,807923,17.82%
31210-0K101,"COVER ASSY, CLUTCH",TGN40 = KIJANG INNOVA,TMC,42.00,1139040,975615,16.75%,199,2531,177,NK-IDAM,2022,April,12,862325,31.80,763119,16.75%
48510-BZ740,"ABSORBER ASSY,FR RH",F652 = AVANZA,TMC,45.75,1240740,951199,30.44%,5,5,,NK-IDAS,2022,April,5,861356,31.76,762262,30.44%
16363-0Y050,"MOTOR, COOLING FAN",NSP170 = SIENTA,TMC,38.00,1030560,882272,16.81%,100,740,44,NK-IDAS,2022,July,26,838159,30.91,741733,16.81%
13011-0L020,"RING SET, PISTON",KDH222 = HI-ACE,TMC,36.45,988427,858189,15.18%,10,90,40,NK-IDAM,2022,May,10,753378,27.78,666706,15.18%
45503-0K040,END SA STEERING RACK,GUN142 = KIJANG INNOVA,TMC,39.68,1076083,782646,37.49%,20,22,,NK-IDAS,2022,August,19,743514,27.42,657977,37.49%
31250-0B021,"DISC ASSY, CLUTCH",KF80 = KIJANG MINIBUS,TMC,36.25,983100,829088,18.58%,20,167,9,NK-IDAS,2022,August,19,726679,26.79,643079,18.58%
