ID,Ngày nhập gần nhất,Nhà Nhập Khẩu,Đơn giá nhập gần nhất,Tổng nhập gần nhất,Nhà Nhập khẩu MIN,Ngày nhập khẩu MIN,Đơn giá MIN,Tổng nhập khẩu MIN
5001474,2020-01-13 00:00:00,NK-BANGCHAK,61354,360,NK-BANGCHAK,2020-01-13 00:00:00,61354,360
5001475,2020-01-13 00:00:00,NK-BANGCHAK,217675,8,NK-BANGCHAK,2020-01-13 00:00:00,217675,8
5001476,2020-01-13 00:00:00,NK-BANGCHAK,31929,8,NK-BANGCHAK,2020-01-13 00:00:00,31929,8
5001478,2020-01-13 00:00:00,NK-BANGCHAK,46236,1600,NK-BANGCHAK,2020-01-13 00:00:00,46236,1600
5001483,2020-01-13 00:00:00,NK-BANGCHAK,281910,160,NK-BANGCHAK,2020-01-13 00:00:00,281910,160
5001484,2020-01-13 00:00:00,NK-BANGCHAK,53518,640,NK-BANGCHAK,2020-01-13 00:00:00,53518,640
5001515,2020-01-13 00:00:00,NK-BANGCHAK,556828,4,NK-BANGCHAK,2020-01-13 00:00:00,556828,4
5001603,2020-01-13 00:00:00,NK-BANGCHAK,114005,12,NK-BANGCHAK,2020-01-13 00:00:00,114005,12
5001673,2020-01-13 00:00:00,NK-BANGCHAK,931883,5,NK-BANGCHAK,2020-01-13 00:00:00,931883,5
5001689,2020-01-13 00:00:00,NK-BANGCHAK,330464,8,NK-BANGCHAK,2020-01-13 00:00:00,330464,8
5001690,2020-01-13 00:00:00,NK-BANGCHAK,47561,8,NK-BANGCHAK,2020-01-13 00:00:00,47561,8
5001701,2020-01-13 00:00:00,NK-BANGCHAK,293504,8,NK-BANGCHAK,2020-01-13 00:00:00,293504,8
5001702,2020-01-13 00:00:00,NK-BANGCHAK,41982,8,NK-BANGCHAK,2020-01-13 00:00:00,41982,8
5001758,2020-01-13 00:00:00,NK-BANGCHAK,61354,2100,NK-BANGCHAK,2020-01-13 00:00:00,61354,2100
5001889,2020-01-13 00:00:00,NK-BANGCHAK,184945,1600,NK-BANGCHAK,2020-01-13 00:00:00,184945,1600
5001908,2020-01-13 00:00:00,NK-BANGCHAK,231971,200,NK-BANGCHAK,2020-01-13 00:00:00,231971,200
5001909,2020-01-13 00:00:00,NK-BANGCHAK,209655,2000,NK-BANGCHAK,2020-01-13 00:00:00,209655,2000
SBI-1521,2020-01-15 00:00:00,NK-555,131076,200,NK-555,2020-01-15 00:00:00,131076,200
SBI-1542,2020-01-15 00:00:00,NK-555,212971,90,NK-555,2020-01-15 00:00:00,212971,90
SBI-3602,2020-01-15 00:00:00,NK-555,101256,300,NK-555,2020-01-15 00:00:00,101256,300
SBI-3642,2020-01-15 00:00:00,NK-555,168240,120,NK-555,2020-01-15 00:00:00,168240,120
SBI-5143,2020-01-15 00:00:00,NK-555,187601,90,NK-555,2020-01-15 00:00:00,187601,90
SBI-5282,2020-01-15 00:00:00,NK-555,257701,90,NK-555,2020-01-15 00:00:00,257701,90
SBI-5302,2020-01-15 00:00:00,NK-555,245684,30,NK-555,2020-01-15 00:00:00,245684,30
SBI-5361,2020-01-15 00:00:00,NK-555,154888,30,NK-555,2020-01-15 00:00:00,154888,30
SBI-7721,2020-01-15 00:00:00,NK-555,157781,50,NK-555,2020-01-15 00:00:00,157781,50
SBI-7722L,2020-01-15 00:00:00,NK-555,244349,60,NK-555,2020-01-15 00:00:00,244349,60
SBI-7722R,2020-01-15 00:00:00,NK-555,244349,60,NK-555,2020-01-15 00:00:00,244349,60
SBI-7841,2020-01-15 00:00:00,NK-555,159339,100,NK-555,2020-01-15 00:00:00,159339,100
SBI-7842,2020-01-15 00:00:00,NK-555,250135,112,NK-555,2020-01-15 00:00:00,250135,112
SBI-7941,2020-01-15 00:00:00,NK-555,159339,50,NK-555,2020-01-15 00:00:00,159339,50
SEI-1521,2020-01-15 00:00:00,NK-555,125067,80,NK-555,2020-01-15 00:00:00,125067,80
SEI-3601L,2020-01-15 00:00:00,NK-555,128183,50,NK-555,2020-01-15 00:00:00,128183,50
SEI-3601R,2020-01-15 00:00:00,NK-555,128183,50,NK-555,2020-01-15 00:00:00,128183,50
SEI-3641R,2020-01-15 00:00:00,NK-555,119059,50,NK-555,2020-01-15 00:00:00,119059,50
SEI-5281L,2020-01-15 00:00:00,NK-555,139978,80,NK-555,2020-01-15 00:00:00,139978,80
SEI-5281R,2020-01-15 00:00:00,NK-555,139978,80,NK-555,2020-01-15 00:00:00,139978,80
SEI-5361,2020-01-15 00:00:00,NK-555,113273,80,NK-555,2020-01-15 00:00:00,113273,80
SEI-7721,2020-01-15 00:00:00,NK-555,107264,80,NK-555,2020-01-15 00:00:00,107264,80
