ID,Nhà cung cấp,Ngày nhập gần đây,Đơn giá nhập,Tổng nhập,ID Khach hang,Ngày,Đơn giá MIN,Tổng nhập
45503-29836,CHPT-MINHANH,2022-01-03 00:00:00,1300000,2,CHPT-MINHANH,2022-01-03 00:00:00,1300000,2
90311-T0076,HTAUTOHN,2022-01-03 00:00:00,75000,5,HTAUTOHN,2022-01-03 00:00:00,75000,5
04465-YZZE2,HTAUTOHN,2022-01-04 00:00:00,890000,1,HTAUTOHN,2022-01-04 00:00:00,890000,1
062500-6711,THANHDUC,2022-01-04 00:00:00,900000,1,THANHDUC,2022-01-04 00:00:00,900000,1
062500-6712,THANHDUC,2022-01-04 00:00:00,900000,1,THANHDUC,2022-01-04 00:00:00,900000,1
27415-0T060,CHPT-MINHANH,2022-01-04 00:00:00,720000,1,CHPT-MINHANH,2022-01-04 00:00:00,720000,1
DB1482,DACYEN,2022-01-04 00:00:00,250000,25,DACYEN,2022-01-04 00:00:00,250000,25
DB1786,DACYEN,2022-01-04 00:00:00,170000,10,DACYEN,2022-01-04 00:00:00,170000,10
DB1802,DACYEN,2022-01-04 00:00:00,220000,15,DACYEN,2022-01-04 00:00:00,220000,15
12363-21060,HTAUTOHN,2022-01-05 00:00:00,880000,1,HTAUTOHN,2022-01-05 00:00:00,880000,1
90311-T0021-A,HTAUTOHN,2022-01-05 00:00:00,72000,1,HTAUTOHN,2022-01-05 00:00:00,72000,1
90919-05025,HTAUTOHN,2022-01-05 00:00:00,970000,1,HTAUTOHN,2022-01-05 00:00:00,970000,1
12361-0V060,HTAUTOHN,2022-01-06 00:00:00,1500000,1,HTAUTOHN,2022-01-06 00:00:00,1500000,1
33820-0D070,HTAUTOHN,2022-01-06 00:00:00,1200000,1,HTAUTOHN,2022-01-06 00:00:00,1200000,1
48609-08030,HTAUTOHN,2022-01-06 00:00:00,1030000,2,HTAUTOHN,2022-01-06 00:00:00,1030000,2
51606-SWA-J01,KL-DUCPHAT-Q5,2022-01-06 00:00:00,850000,1,KL-DUCPHAT-Q5,2022-01-06 00:00:00,850000,1
PL011952,HTAUTOHN,2022-01-06 00:00:00,700000,2,HTAUTOHN,2022-01-06 00:00:00,700000,2
PL011953,HTAUTOHN,2022-01-06 00:00:00,850000,2,HTAUTOHN,2022-01-06 00:00:00,850000,2
PL013134,HTAUTOHN,2022-01-06 00:00:00,839000,2,HTAUTOHN,2022-01-06 00:00:00,839000,2
SL-3690L,HTAUTOHN,2022-01-06 00:00:00,214000,10,HTAUTOHN,2022-01-06 00:00:00,214000,10
SL-3690R,HTAUTOHN,2022-01-06 00:00:00,214000,10,HTAUTOHN,2022-01-06 00:00:00,214000,10
T23KD200,HTAUTOHN,2022-01-06 00:00:00,59000,40,HTAUTOHN,2022-01-06 00:00:00,59000,40
PL012377,HTAUTOHN,2022-01-07 00:00:00,1800000,1,HTAUTOHN,2022-01-03 00:00:00,1800000,1
PL012377,HTAUTOHN,2022-01-07 00:00:00,1800000,1,HTAUTOHN,2022-01-07 00:00:00,1800000,1
13470-0H020,CHPT-MINHANH,2022-01-08 00:00:00,1200000,2,CHPT-MINHANH,2022-01-05 00:00:00,1200000,1
13470-0H020,CHPT-MINHANH,2022-01-08 00:00:00,1200000,2,CHPT-MINHANH,2022-01-08 00:00:00,1200000,2
44510-0K170,NCC-QUANGNINH,2022-01-08 00:00:00,4500000,5,NCC-QUANGNINH,2022-01-08 00:00:00,4500000,5
47050-60033,NCC-KHANGTHANG,2022-01-08 00:00:00,37600000,1,NCC-KHANGTHANG,2022-01-08 00:00:00,37600000,1
DB2396,HTAUTOHN,2022-01-08 00:00:00,286000,10,HTAUTOHN,2022-01-08 00:00:00,286000,10
90913-02093,CHPT-MINHANH,2022-01-10 00:00:00,7000,320,CHPT-MINHANH,2022-01-10 00:00:00,7000,320
13101-0Y120,HTAUTOHN,2022-01-11 00:00:00,510000,4,HTAUTOHN,2022-01-11 00:00:00,510000,4
35974/050,HTAUTOHN,2022-01-11 00:00:00,306000,2,HTAUTOHN,2022-01-11 00:00:00,306000,2
45220-08042,HTAUTOHN,2022-01-11 00:00:00,2900000,1,HTAUTOHN,2022-01-11 00:00:00,2900000,1
45250-48252,HTAUTOHN,2022-01-12 00:00:00,15500000,1,HTAUTOHN,2022-01-12 00:00:00,15500000,1
48068-0K100,HTAUTOHN,2022-01-12 00:00:00,2400000,1,HTAUTOHN,2022-01-12 00:00:00,2400000,1
12361-46190,HTAUTOHN,2022-01-13 00:00:00,1950000,2,HTAUTOHN,2022-01-13 00:00:00,1950000,2
12371-46160,HTAUTOHN,2022-01-13 00:00:00,1280000,1,HTAUTOHN,2022-01-13 00:00:00,1280000,1
48080-60010,HTAUTOHN,2022-01-15 00:00:00,4700000,1,HTAUTOHN,2022-01-15 00:00:00,4700000,1
48090-60010,HTAUTOHN,2022-01-15 00:00:00,4700000,1,HTAUTOHN,2022-01-15 00:00:00,4700000,1
48080-50202,HTAUTOHN,2022-01-17 00:00:00,10500000,1,HTAUTOHN,2022-01-17 00:00:00,10500000,1
83320-0D030,HTAUTOHN,2022-01-17 00:00:00,873000,1,HTAUTOHN,2022-01-17 00:00:00,873000,1
90919-05030,CHPT-MINHANH,2022-01-17 00:00:00,1100000,1,CHPT-MINHANH,2022-01-17 00:00:00,1100000,1
13751-46030,HTAUTOHN,2022-01-18 00:00:00,170000,16,HTAUTOHN,2022-01-18 00:00:00,170000,16
23209-50080,HTAUTOHN,2022-01-19 00:00:00,1900000,8,HTAUTOHN,2022-01-04 00:00:00,1900000,8
