ID,Nhà sản xuất,Số lượng cần nhập,Unit Price,Unit Price VND,Nhà sản xuất dự phòng,Unit Price Dự phòng,Tổng nhập,Tổng xuất,Tổng tồn,Giá vốn,Giá vốn mới,Giá mặc cả,Giá mặc cả USD,Giá bán,Giá giảm,ID Nhà cung cấp,Ngày nhập,Đơn giá nhập
04371-0K110,TASTI,500,29.22,792446,FOB SEPTEMBER,29.81,115,115,0,461030.5,353334,399268,14.72,650000,550000,NK-TS,2022-02-26 00:00:00,420282
04465-YZZQ7,TASTI,1000,39.99,1084529,FOB SEPTEMBER,40.81,760,699,132,1020108.7,762142,861220,31.76,1200000,1100000,HTAUTOHN,2022-09-14 00:00:00,861220
04495-YZZZ2,TASTI,1000,15.94,432293,FOB SEPTEMBER,16.32,258,478,1,364419.4,290334,328078,12.10,510000,450000,NK-IDAS,2022-07-26 00:00:00,345345
13011-0C010,TASTI,300,23.08,625930,FOB SEPTEMBER,23.36,514,590,290,540758.6,434588,491084,18.11,800000,600000,NK-IDAS,2022-07-26 00:00:00,516931
17801-0L050,TASTI,200,14.65,397308,FOB SEPTEMBER,14.89,89,107,17,358674.7,284042,320967,11.84,600000,600000,NK-IDAM,2022-07-22 00:00:00,337860
27415-0L030,TASTI,1000,39.51,1071511,FOB SEPTEMBER,40.32,938,730,214,619530.3,460102,519915,19.17,800000,640000,HTAUTOHN,2022-09-14 00:00:00,547279
31250-0A011,TASTI,200,33.05,896316,FOB SEPTEMBER,33.72,789,741,153,738936.7,612061,691629,25.50,950000,880000,NK-IDAS,2022-08-19 00:00:00,728030
31250-0B021,TASTI,100,34.72,941606,FOB SEPTEMBER,35.43,85,93,7,784679.7,641760,725189,26.74,1100000,1050000,NK-IDAS,2022-08-19 00:00:00,763357
45503-0K040,TASTI,40,37.70,1022424,FOB SEPTEMBER,37.97,40,22,18,819915.0,689309,778919,28.72,,1250000,NK-IDAS,2022-08-19 00:00:00,819915
48510-8Z244,TASTI,4000,28.02,759902,FOB SEPTEMBER,28.59,2176,2597,0,636313.9,0,0,0.00,800000,730000,GIANGDAO,2022-09-09 00:00:00,0
48520-09Q22,TASTI,100,39.75,1078020,FOB SEPTEMBER,40.56,400,195,337,949506.9,720419,814074,30.02,1200000,1100000,NK-IDAM,2022-09-12 00:00:00,856920
48609-0K020,TASTI,50,12.26,332491,FOB SEPTEMBER,12.41,42,53,21,287560.0,231463,261553,9.64,480000,480000,NK-IDAM,2022-07-22 00:00:00,275319
90082-93003,TASTI,100,1.44,39053,FOB SEPTEMBER,1.47,354,287,177,32348.5,26706,30178,1.11,80000,80000,NK-IDAS,2022-07-26 00:00:00,31766
99332-51030,TASTI,100,3.74,101429,FOB SEPTEMBER,3.81,142,185,165,84596.3,69212,78210,2.88,110000,,NK-IDAM,2021-12-15 00:00:00,82326
