ID,Nhà sản xuất,Số lượng cần nhập,Unit Price,Unit Price VND,Nhà sản xuất dự phòng,Unit Price Dự phòng,Tổng nhập,Tổng xuất,Tổng tồn,Giá vốn,Giá vốn mới,Giá mặc cả,Giá mặc cả USD,Giá bán,Giá giảm,ID Nhà cung cấp,Ngày nhập,Đơn giá nhập
16363-0Y050,TMC,800,38.00,1030560,"3, CAMPAIGN USD SPEC",43.84615384615385,325,430,44,864746.1,648485,732788,27.02,1200000,1050000,NK-IDAS,2022-07-26 00:00:00,771356
17801-YZZA1,TMC,200,13.70,371447,TASTI,14.129999999999999,40,176,302,299507.0,241589,272996,10.07,450000,400000,NK-IDAM,2021-08-04 00:00:00,287364
31210-0K101,TMC,3000,42.00,1139040,"3, CAMPAIGN USD SPEC",48.46153846153846,1151,1850,173,922934.8,758968,857633,31.62,1200000,1050000,NK-IDAM,2022-04-12 00:00:00,902772
31210-0K131,TMC,200,54.32,1473197,"3, CAMPAIGN USD SPEC",67.5,116,47,86,1231890.2,944625,1067426,39.36,1670000,1550000,NK-IDAM,2022-09-12 00:00:00,1123606
31210-0K320,TMC,300,47.14,1278514,,,100,85,15,1109581.3,932834,1054102,38.87,1550000,1450000,NK-IDAM,2022-07-22 00:00:00,1109581
31250-0K320,TMC,300,62.68,1699843,,,730,847,53,1387874.8,1062571,1200705,44.27,1850000,1600000,NK-IDAM,2022-09-12 00:00:00,1263900
48510-8Z265,TMC,1000,19.50,528840,,,6881,10278,130,447928.5,368835,416784,15.37,550000,460000,NK-IDAS,2022-08-19 00:00:00,438720
48520-8Z125,TMC,1000,19.50,528840,,,6811,10323,8,447760.9,368835,416784,15.37,550000,460000,NK-IDAS,2022-08-19 00:00:00,438720
90916-T2014,TMC,100,10.25,277980,,,202,165,246,237966.3,188960,213525,7.87,400000,400000,NK-IDAM,2022-07-22 00:00:00,224763
90916-T2026,TMC,600,11.38,308490,"3, CAMPAIGN USD SPEC",14.134615384615385,436,349,244,254723.6,204248,230801,8.51,420000,400000,NK-IDAM,2022-09-12 00:00:00,242948
90919-01059,TMC,500,0.83,22374,,,2210,2290,499,17735.1,14515,16402,0.60,35000,25000,NK-IDAM,2022-05-10 00:00:00,17265
90919-T1002,TMC,20000,0.88,23866,,,50614,43100,13466,19877.2,15892,17958,0.66,28000,23000,NK-IDAM,2022-09-12 00:00:00,18903
90919-T1004,TMC,10000,0.88,23866,,,34190,37659,4119,19355.3,15772,17822,0.66,28000,23000,NK-IDAM,2022-05-10 00:00:00,18760
